   4.44893658332672e-02   1.09218341952000e-01   1.14187105768121e-01
   2.34526109519617e-01   2.10443107939000e-01   2.66065216897622e-01
   5.76884629301886e-01   2.35213229670000e-01   4.18793137324855e-01
   1.07244875381782e+00   1.95903335972000e-01   5.72532846499807e-01
   1.72240877644465e+00   1.29983786299000e-01   7.27648788380976e-01
   2.52833670642579e+00   7.05786238336000e-02   8.84536719340248e-01
   3.49221327302199e+00   3.17609125169000e-02   1.04361887589208e+00
   4.61645676974977e+00   1.19182141310000e-02   1.20534927415235e+00
   5.90395850417424e+00   3.73881741251000e-03   1.37022133852178e+00
   7.35812673318624e+00   9.80802405686000e-04   1.53877725646864e+00
   8.98294092421260e+00   2.14868183409000e-04   1.71161935268646e+00
   1.07830186325400e+01   3.92065998470000e-05   1.88942406344949e+00
   1.27636979867427e+01   5.93491584325000e-06   2.07295934024653e+00
   1.49311397555226e+01   7.42725633002000e-07   2.26310663399696e+00
   1.72924543367153e+01   7.62644877602000e-08   2.46088907248824e+00
   1.98558609403361e+01   6.30626997915000e-09   2.66750812639712e+00
   2.26308890131968e+01   4.08362052082000e-10   2.88439209292204e+00
   2.56286360224593e+01   2.41193908639000e-11   3.11326132703959e+00
   2.88621018163235e+01   8.42600236462000e-13   3.35621769259580e+00
   3.23466291539647e+01   3.98620503719000e-14   3.61586985648427e+00
   3.61004948057520e+01   8.86310247569000e-16   3.89551304494855e+00
   4.01457197715394e+01   1.93438784581000e-17   4.19939410471159e+00
   4.45092079957549e+01   2.36023435352000e-19   4.53311497853437e+00
   4.92243949873086e+01   1.76842054250000e-21   4.90427028761124e+00
   5.43337213333969e+01   1.54277824262000e-23   5.32350097202367e+00
   5.98925091621340e+01   5.28465797982000e-26   5.80633321423362e+00
   6.59753772879350e+01   1.38670562699000e-28   6.37661467415968e+00
   7.26876280906627e+01   1.87054245572000e-31   7.07352658070722e+00
   8.01874469779135e+01   1.18414925494000e-34   7.96769350929590e+00
   8.87353404178924e+01   2.67172178868000e-38   9.20504033127817e+00
   9.88295428682840e+01   1.33869185345000e-42   1.11630130907678e+01
   1.11751398097938e+02   4.51055359187000e-48   1.53901804152606e+01

